name,name_key,symbol,listing_date,ipo_price,market,lead_manager,listed_shares
제이스코홀딩스,제이스코홀딩스,023440,1994-10-07,,코스닥,,
모베이스전자,모베이스전자,012860,1994-10-26,,코스닥,,
KC그린홀딩스,kc그린홀딩스,009440,1994-11-05,,유가,,
문배철강,문배철강,008420,1994-11-05,,유가,,
웅진,웅진,016880,1994-11-05,,유가,,
대림제지,대림제지,017650,1994-11-07,,코스닥,,
대한광통신,대한광통신,010170,1994-11-07,,코스닥,,
동일스틸럭스,동일스틸럭스,023790,1994-11-07,,코스닥,,
플레이위드,플레이위드,023770,1994-11-07,,코스닥,,
한국캐피탈,한국캐피탈,023760,1994-11-07,,코스닥,,
한일사료,한일사료,005860,1994-11-07,,코스닥,,
대한약품,대한약품,023910,1994-11-23,,코스닥,,
이화공영,이화공영,001840,1994-11-23,,코스닥,,
풍국주정,풍국주정,023900,1994-11-23,,코스닥,,
KB오토시스,kb오토시스,024120,1994-12-07,,코스닥,,
신원종합개발,신원종합개발,017000,1994-12-07,,코스닥,,
흥구석유,흥구석유,024060,1994-12-07,,코스닥,,
KPX케미칼,kpx케미칼,025000,1994-12-27,,유가,,
TP,tp,007980,1994-12-27,,유가,,
에스엠벡셀,에스엠벡셀,010580,1994-12-27,,유가,,
KBI메탈,kbi메탈,024840,1994-12-29,,코스닥,,
경창산업,경창산업,024910,1994-12-29,,코스닥,,
대륙제관,대륙제관,004780,1994-12-29,,코스닥,,
동원개발,동원개발,013120,1994-12-29,,코스닥,,
세원물산,세원물산,024830,1994-12-29,,코스닥,,
케이피에프,케이피에프,024880,1994-12-29,,코스닥,,
메디앙스,메디앙스,014100,1995-01-03,,코스닥,,
PN풍년,pn풍년,024940,1995-01-04,,코스닥,,
삼천리자전거,삼천리자전거,024950,1995-01-04,,코스닥,,
시노펙스,시노펙스,025320,1995-04-20,,코스닥,,
DH오토웨어,dh오토웨어,025440,1995-05-22,,코스닥,,
한국선재,한국선재,025550,1995-06-19,,코스닥,,
신라에스지,신라에스지,025870,1995-07-07,,코스닥,,
케이씨피드,케이씨피드,025880,1995-07-07,,코스닥,,
한탑,한탑,002680,1995-07-07,,코스닥,,
에넥스,에넥스,011090,1995-07-08,,유가,,
에이프로젠,에이프로젠,007460,1995-07-08,,유가,,
차AI헬스케어,차ai헬스케어,025620,1995-07-08,,유가,,
한국카본,한국카본,017960,1995-07-08,,유가,,
동신건설,동신건설,025950,1995-08-07,,코스닥,,
동화기업,동화기업,025900,1995-08-07,,코스닥,,
서울도시가스,서울도시가스,017390,1995-08-18,,유가,,
이구산업,이구산업,025820,1995-08-18,,유가,,
HMM,hmm,011200,1995-10-05,,유가,,
경인양행,경인양행,012610,1995-10-05,,유가,,
풀무원,풀무원,017810,1995-10-05,,유가,,
대신정보통신,대신정보통신,020180,1995-10-06,,코스닥,,
서부T&D,서부td,006730,1995-10-06,,코스닥,,
성우하이텍,성우하이텍,015750,1995-11-04,,코스닥,,
남해화학,남해화학,025860,1995-11-10,,유가,,
동원금속,동원금속,018500,1995-11-10,,유가,,
성안머티리얼스,성안머티리얼스,011300,1995-11-10,,유가,,
신대양제지,신대양제지,016590,1995-12-21,,유가,,
와이투솔루션,와이투솔루션,011690,1995-12-21,,유가,,
광진실업,광진실업,026910,1996-01-03,,코스닥,,
인터엠,인터엠,017250,1996-01-03,,코스닥,,
아난티,아난티,025980,1996-01-06,,코스닥,,
유니슨,유니슨,018000,1996-01-10,,코스닥,,
리드코프,리드코프,012700,1996-01-19,,코스닥,,
계룡건설산업,계룡건설산업,013580,1996-01-30,,유가,,
서원,서원,021050,1996-01-30,,유가,,
에스원,에스원,012750,1996-01-30,,유가,,
태경산업,태경산업,015890,1996-01-30,,유가,,
원익큐브,원익큐브,014190,1996-04-26,,코스닥,,
삼목에스폼,삼목에스폼,018310,1996-05-03,,코스닥,,
에이스침대,에이스침대,003800,1996-05-03,,코스닥,,
삼보판지,삼보판지,023600,1996-05-29,,코스닥,,
블루산업개발,블루산업개발,006740,1996-07-03,,유가,,
세원정공,세원정공,021820,1996-07-03,,유가,,
유니온,유니온,000910,1996-07-03,,유가,,
키다리스튜디오,키다리스튜디오,020120,1996-07-03,,유가,,
한국제지,한국제지,027970,1996-07-03,,유가,,
한섬,한섬,020000,1996-07-03,,유가,,
현대엘리베이터,현대엘리베이터,017800,1996-07-03,,유가,,
환인제약,환인제약,016580,1996-07-03,,유가,,
팜스토리,팜스토리,027710,1996-07-06,,코스닥,,
HLB,hlb,028300,1996-07-27,,코스닥,,
디아이,디아이,003160,1996-07-31,,유가,,
신성이엔지,신성이엔지,011930,1996-07-31,,유가,,
티에이치엔,티에이치엔,019180,1996-07-31,,유가,,
한온시스템,한온시스템,018880,1996-07-31,,유가,,
광무,광무,029480,1996-08-27,,코스닥,,
대호특수강,대호특수강,021040,1996-08-27,,코스닥,,
메이슨캐피탈,메이슨캐피탈,021880,1996-09-02,,코스닥,,
원익홀딩스,원익홀딩스,030530,1996-09-24,,코스닥,,
