strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,reason,query_start,query_end,prev_close_vs_ipo,threshold,daily_rows,daily_min,daily_max,target_entry_date,entry_idx,exit_idx
3M_close_midhold,3M,close,287840,인투셀,2025-05-23,2025-08-23,prev_close_vs_ipo_below_min,20250803,20251125,1.6558823529411764,2.0,,,,,,
3M_close_midhold,3M,close,475430,키스트론,2025-06-02,2025-09-02,prev_close_vs_ipo_below_min,20250813,20251205,1.4,2.0,,,,,,
3M_close_midhold,3M,close,474650,링크솔루션,2025-06-10,2025-09-10,prev_close_vs_ipo_below_min,20250821,20251213,1.0108695652173914,2.0,,,,,,
3M_close_midhold,3M,close,340450,지씨지놈,2025-06-11,2025-09-11,prev_close_vs_ipo_below_min,20250822,20251214,0.7638095238095238,2.0,,,,,,
3M_close_midhold,3M,close,455180,케이지에이,2025-06-17,2025-09-17,ipo_price_missing_for_prev_filter,20250828,20251220,,,,,,,,
3M_close_midhold,3M,close,388610,지에프씨생명과학,2025-06-30,2025-09-30,prev_close_vs_ipo_below_min,20250910,20260102,1.34640522875817,2.0,,,,,,
3M_close_midhold,3M,close,463020,뉴엔AI,2025-07-04,2025-10-04,prev_close_vs_ipo_below_min,20250914,20260106,1.71,2.0,,,,,,
3M_close_midhold,3M,close,462310,뉴키즈온,2025-07-09,2025-10-09,ipo_price_missing_for_prev_filter,20250919,20260111,,,,,,,,
3M_close_midhold,3M,close,000030,대신밸류리츠,2025-07-10,2025-10-10,daily_empty_symbol,20250920,20260112,,,,,,,,
3M_close_midhold,3M,close,331740,아우토크립트,2025-07-15,2025-10-15,prev_close_vs_ipo_below_min,20250925,20260117,0.6381818181818182,2.0,,,,,,
3M_close_midhold,3M,close,484120,도우인시스,2025-07-23,2025-10-23,prev_close_vs_ipo_below_min,20251003,20260125,0.9125,2.0,,,,,,
3M_close_midhold,3M,close,380550,뉴로핏,2025-07-25,2025-10-25,prev_close_vs_ipo_below_min,20251005,20260127,1.4642857142857142,2.0,,,,,,
3M_close_midhold,3M,close,475230,엔알비,2025-07-28,2025-10-28,prev_close_vs_ipo_below_min,20251008,20260130,0.5414285714285715,2.0,,,,,,
3M_close_midhold,3M,close,439260,대한조선,2025-08-01,2025-11-01,prev_close_vs_ipo_below_min,20251012,20260203,1.482,2.0,,,,,,
