name,name_key,symbol,listing_date,ipo_price,market,lead_manager,listed_shares,ipo_price_source
에이아이코리아,에이아이코리아,364950,2025-04-29,,코스닥,nan,,
나우로보틱스,나우로보틱스,459510,2025-05-08,6800.0,코스닥,"대신증권(주),iM증권",,38
오가노이드사이언스,오가노이드사이언스,476040,2025-05-09,21000.0,코스닥,한국투자증권(주),,38
원일티엔아이,원일티엔아이,136150,2025-05-09,13500.0,코스닥,엔에이치투자증권(주),,38
로킷헬스케어,로킷헬스케어,376900,2025-05-12,11000.0,코스닥,SK증권(주),,38
티씨머티리얼즈,티씨머티리얼즈,125020,2025-05-15,,코스닥,nan,,
바이오포트,바이오포트,188040,2025-05-16,,코스닥,nan,,
이뮨온시아,이뮨온시아,424870,2025-05-19,3600.0,코스닥,한국투자증권(주),,38
바이오비쥬,바이오비쥬,489460,2025-05-20,9100.0,코스닥,대신증권(주),,38
달바글로벌,달바글로벌,483650,2025-05-22,66300.0,유가,미래에셋증권 주식회사,,38
인투셀,인투셀,287840,2025-05-23,17000.0,코스닥,미래에셋증권 주식회사,,38
키스트론,키스트론,475430,2025-06-02,3600.0,코스닥,신한투자증권 주식회사,,38
링크솔루션,링크솔루션,474650,2025-06-10,23000.0,코스닥,신영증권(주),,38
지씨지놈,지씨지놈,340450,2025-06-11,10500.0,코스닥,삼성증권(주),,kind
케이지에이,케이지에이,455180,2025-06-17,,코스닥,nan,,
지에프씨생명과학,지에프씨생명과학,388610,2025-06-30,15300.0,코스닥,대신증권(주),,38
뉴엔AI,뉴엔ai,463020,2025-07-04,15000.0,코스닥,엔에이치투자증권(주),,kind
싸이닉솔루션,싸이닉솔루션,234030,2025-07-07,4700.0,코스닥,대신증권(주),,38
뉴키즈온,뉴키즈온,462310,2025-07-09,,코스닥,nan,,
대신밸류리츠,대신밸류리츠,000030,2025-07-10,5000.0,유가,"한국투자증권(주),대신증권(주)",,38
아우토크립트,아우토크립트,331740,2025-07-15,22000.0,코스닥,대신증권(주),,38
도우인시스,도우인시스,484120,2025-07-23,32000.0,코스닥,키움증권(주),,38
뉴로핏,뉴로핏,380550,2025-07-25,14000.0,코스닥,미래에셋증권 주식회사,,38
엔알비,엔알비,475230,2025-07-28,21000.0,코스닥,엔에이치투자증권(주),,38
프로티나,프로티나,468530,2025-07-29,14000.0,코스닥,한국투자증권(주),,38
대한조선,대한조선,439260,2025-08-01,50000.0,유가,"신영증권(주),KB증권(주),엔에이치투자증권(주)",,38
아이티켐,아이티켐,309710,2025-08-07,16100.0,코스닥,KB증권(주),,38
지투지바이오,지투지바이오,456160,2025-08-14,58000.0,코스닥,미래에셋증권 주식회사,,38
삼양컴텍,삼양컴텍,484590,2025-08-18,7700.0,코스닥,"신한투자증권 주식회사,엔에이치투자증권(주)",,38
에스엔시스,에스엔시스,000008,2025-08-19,30000.0,코스닥,신한투자증권 주식회사,,38
한라캐스트,한라캐스트,125490,2025-08-20,5800.0,코스닥,대신증권(주),,38
제이피아이헬스케어,제이피아이헬스케어,000010,2025-08-21,20000.0,코스닥,키움증권(주),,38
