name_key,name,ipo_price,listing_date,source_kinds
더블유씨피,더블유씨피,60000.0,2022-09-30,"new_listing,subscription"
선바이오,선바이오,11000.0,2022-10-05,"new_listing,subscription"
kb스타리츠,KB스타리츠(유가),5000.0,2022-10-06,"new_listing,subscription"
sk증권스팩8호,SK증권스팩8호,2000.0,2022-10-06,"new_listing,subscription"
유안타스팩10호,유안타스팩10호,2000.0,2022-10-06,"new_listing,subscription"
모델솔루션,모델솔루션,27000.0,2022-10-07,"new_listing,subscription"
이노룰스,이노룰스,12500.0,2022-10-07,"new_listing,subscription"
오에스피,오에스피,8400.0,2022-10-14,"new_listing,subscription"
에스비비테크,에스비비테크,12400.0,2022-10-17,"new_listing,subscription"
탑머티리얼,탑머티리얼,30000.0,2022-10-18,"new_listing,subscription"
샤페론,샤페론,5000.0,2022-10-19,"new_listing,subscription"
nh스팩24호,NH스팩24호,2000.0,2022-10-20,"new_listing,subscription"
핀텔,핀텔,8900.0,2022-10-20,"new_listing,subscription"
하나금융스팩25호,하나금융스팩25호,10000.0,2022-10-20,"new_listing,subscription"
한국스팩11호,한국스팩11호,2000.0,2022-10-20,"new_listing,subscription"
플라즈맵,플라즈맵,7000.0,2022-10-21,"new_listing,subscription"
삼성스팩7호,삼성스팩7호,10000.0,2022-10-26,"new_listing,subscription"
산돌,산돌,18800.0,2022-10-27,"new_listing,subscription"
ibks스팩20호,IBKS스팩20호,2000.0,2022-10-28,"new_listing,subscription"
저스템,저스템,10500.0,2022-10-28,"new_listing,subscription"
교보스팩13호,교보스팩13호,2000.0,2022-11-02,"new_listing,subscription"
큐알티,큐알티,44000.0,2022-11-02,"new_listing,subscription"
kb스팩23호,KB스팩23호,2000.0,2022-11-03,"new_listing,subscription"
nh스팩25호,NH스팩25호,2000.0,2022-11-03,"new_listing,subscription"
뉴로메카,뉴로메카,16900.0,2022-11-04,"new_listing,subscription"
제이아이테크,제이아이테크,16000.0,2022-11-04,"new_listing,subscription"
디티앤씨알오,디티앤씨알오,17000.0,2022-11-11,"new_listing,subscription"
윤성에프앤씨,윤성에프앤씨,49000.0,2022-11-14,"new_listing,subscription"
티쓰리엔터테인먼트,티쓰리엔터테인먼트,1700.0,2022-11-17,"new_listing,subscription"
티에프이,티에프이,10500.0,2022-11-17,"new_listing,subscription"
엔젯,엔젯,10000.0,2022-11-18,"new_listing,subscription"
유비온,유비온,2000.0,2022-11-18,"new_listing,subscription"
인벤티지랩,인벤티지랩,12000.0,2022-11-22,"new_listing,subscription"
펨트론,펨트론,8000.0,2022-11-24,"new_listing,subscription"
대신밸런스스팩13호,대신밸런스스팩13호,2000.0,2022-11-28,"new_listing,subscription"
nh스팩26호,NH스팩26호,2000.0,2022-12-01,"new_listing,subscription"
유진스팩9호,유진스팩9호,2000.0,2022-12-01,"new_listing,subscription"
대신밸런스스팩14호,대신밸런스스팩14호,2000.0,2022-12-05,"new_listing,subscription"
에스에이엠지엔터테인먼트,에스에이엠지엔터테인먼트,17000.0,2022-12-06,"new_listing,subscription"
ibks스팩21호,IBKS스팩21호,2000.0,2022-12-16,"new_listing,subscription"
nh스팩27호,NH스팩27호,2000.0,2022-12-16,"new_listing,subscription"
