name,name_key,symbol,market,current_price,day_change_pct,quote_asof,quote_provider
아이스크림에듀,아이스크림에듀,289010,,931.0,,2026-07-15,NaverFinance
아이씨에이치,아이씨에이치,368600,,579.0,,2026-07-15,NaverFinance
아이씨티케이,아이씨티케이,456010,,15200.0,,2026-07-15,NaverFinance
아이언디바이스,아이언디바이스,464500,,1769.0,,2026-07-15,NaverFinance
아이에스티이,아이에스티이,212710,,9750.0,,2026-07-15,NaverFinance
아이엘로보틱스,아이엘로보틱스,403810,,2225.0,,2026-07-15,NaverFinance
아이엠바이오로직스,아이엠바이오로직스,493280,,18720.0,,2026-07-15,NaverFinance
아이엠비디엑스,아이엠비디엑스,461030,,3145.0,,2026-07-15,NaverFinance
아이엠지티,아이엠지티,456570,,9690.0,,2026-07-15,NaverFinance
아이엠티,아이엠티,451220,,9340.0,,2026-07-15,NaverFinance
아이지넷,아이지넷,462980,,1318.0,,2026-07-15,NaverFinance
아이퀘스트,아이퀘스트,262840,,2780.0,,2026-07-15,NaverFinance
아이큐어,아이큐어,175250,,2170.0,,2026-07-15,NaverFinance
아이티센피엔에스,아이티센피엔에스,232830,,1447.0,,2026-07-15,NaverFinance
아이티아이즈,아이티아이즈,372800,,2980.0,,2026-07-15,NaverFinance
아이티엠반도체,아이티엠반도체,084850,,8250.0,,2026-07-15,NaverFinance
아이티켐,아이티켐,309710,,21000.0,,2026-07-15,NaverFinance
아이패밀리에스씨,아이패밀리에스씨,114840,,8060.0,,2026-07-15,NaverFinance
아주IB투자,아주ib투자,027360,,3425.0,,2026-07-15,NaverFinance
아주스틸(유가),아주스틸,139990,,2000.0,,2026-07-15,NaverFinance
아톤,아톤,158430,,3635.0,,2026-07-15,NaverFinance
알리코제약,알리코제약,260660,,2260.0,,2026-07-15,NaverFinance
알멕,알멕,354320,,28400.0,,2026-07-15,NaverFinance
알비더블유,알비더블유,361570,,1422.0,,2026-07-15,NaverFinance
알지노믹스,알지노믹스,476830,,28600.0,,2026-07-15,NaverFinance
알체라,알체라,347860,,1324.0,,2026-07-15,NaverFinance
알트,알트,459550,,1049.0,,2026-07-15,NaverFinance
