bas_dt,symbol,isin,name,name_key,market,crno,corp_name,listing_status,delisting_date,source,source_detail,last_refresh_ts
20260415,015750,KR7015750003,성우하이텍,성우하이텍,코스닥,1801110042612,(주)성우하이텍,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,015760,KR7015760002,한국전력,한국전력,유가증권,1146710001456,한국전력공사(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,015860,KR7015860000,일진홀딩스,일진홀딩스,유가증권,1201110011990,일진홀딩스(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,015890,KR7015890007,태경산업,태경산업,유가증권,1348110002080,태경산업(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,016090,KR7016090003,대현,대현,유가증권,1101110319320,(주)대현,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,016100,KR7016100000,리더스코스메틱,리더스코스메틱,코스닥,1341110021539,(주)리더스코스메틱,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,016250,KR7016250003,SGC E&C,sgcec,코스닥,1101110327555,에스지씨이앤씨(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,016360,KR7016360000,삼성증권,삼성증권,유가증권,1101110335649,삼성증권(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,016380,KR7016380008,KG스틸,kg스틸,유가증권,1101110393308,KG스틸(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,016450,KR7016450009,한세예스24홀딩스,한세예스24홀딩스,유가증권,1201110019382,한세예스24홀딩스(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,016580,KR7016580003,환인제약,환인제약,유가증권,1101110339542,환인제약(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,016590,KR7016590002,신대양제지,신대양제지,유가증권,1301110008789,신대양제지(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,016600,KR7016600009,큐캐피탈,큐캐피탈,코스닥,1101110339691,큐캐피탈파트너스(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,016610,KR7016610008,DB증권,db증권,유가증권,1101110339956,DB증권(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
