symbol,current_price,ma20,ma60,rsi14,signal,asof
368030,8580.0,8580.0,8580.0,,데이터부족,2026-08-27
176750,6440.0,6360.0,6394.666666666667,57.03125,중립,2026-08-19
495810,13120.0,13120.0,13120.0,,데이터부족,2026-08-19
499790,41050.0,40007.5,41592.5,66.09686609686611,중립,2026-08-19
398120,2160.0,1973.2,2216.6666666666665,65.27777777777777,중립,2026-08-11
476060,14840.0,12156.5,14563.5,66.11295681063123,중립,2026-08-11
487720,2015.0,2014.25,2022.1666666666667,50.0,중립,2026-08-11
382150,3370.0,3501.25,5347.75,44.880174291939,약세추세,2026-07-24
457600,3310.0,2465.25,2130.483333333333,71.36563876651982,과열권,2026-07-24
471820,4315.0,4417.0,4752.333333333333,47.5609756097561,중립,2026-07-16
484870,23550.0,27073.25,29875.283333333333,47.77327935222672,중립,2026-07-16
492220,2015.0,2015.7,2035.15,46.26865671641792,중립,2026-07-08
415640,10050.0,9858.5,9921.5,60.869565217391305,중립,2026-06-30
489480,2040.0,2031.5,2034.6666666666667,62.50000000000001,중립,2026-06-30
389680,1963.0,2313.65,2682.8,39.30610452349583,약세추세,2026-06-20
489210,2035.0,2072.25,2089.75,23.33333333333333,약세추세,2026-06-20
489730,2020.0,2025.25,2051.6666666666665,47.61904761904762,중립,2026-06-20
482690,2125.0,2146.25,2141.45,46.15384615384615,중립,2026-06-16
459100,5220.0,5769.5,6026.333333333333,38.630136986301366,약세추세,2026-06-12
466410,9840.0,10573.0,11138.166666666666,30.943396226415103,약세추세,2026-06-04
474610,10140.0,12173.0,11962.0,43.89473684210527,중립,2026-06-04
484130,2035.0,2039.5,2057.333333333333,50.0,중립,2026-05-27
413390,8020.0,9130.5,8591.166666666666,18.58736059479554,과매도권,2026-05-19
394800,11620.0,12358.5,13239.666666666666,46.15384615384615,중립,2026-05-09
475660,4955.0,5382.75,5679.75,32.25806451612904,약세추세,2026-05-09
487830,2035.0,2056.5,2064.6833333333334,25.0,약세추세,2026-05-09
163280,6450.0,5953.5,6296.333333333333,63.13559322033898,중립,2026-04-23
464580,2095.0,2084.25,2271.6666666666665,62.50000000000001,중립,2026-04-23
473980,17590.0,18064.0,19650.666666666668,46.36678200692042,중립,2026-04-23
475960,55300.0,54745.0,54034.16666666666,44.518272425249165,중립,2026-04-15
