strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,entry_dt,entry_price,exit_dt,exit_price,hold_days_after_entry,ipo_price,ipo_price_source,prev_close_vs_ipo,prev_close_date,entry_price_vs_ipo,gross_ret,net_ret
1M_close_midhold,1M,close,454910,두산로보틱스,2023-10-05,2023-11-05,2023-11-06,46950.0,2023-12-05,81700.0,21,26000.0,kind,1.7230769230769232,2023-11-03,1.8057692307692308,0.7401490947816827,0.7361473521250832
1M_close_midhold,1M,close,445090,에이직랜드,2023-11-13,2023-12-13,2023-12-13,46750.0,2024-01-16,49050.0,21,25000.0,kind,1.94,2023-12-12,1.87,0.04919786096256695,0.046785067801327074
1M_close_midhold,1M,close,450080,에코프로머티,2023-11-17,2023-12-17,2023-12-18,213000.0,2024-01-19,216500.0,21,36200.0,kind,4.668508287292818,2023-12-15,5.883977900552487,0.016431924882629012,0.014094482071820513
1M_close_midhold,1M,close,338840,와이바이오로직스,2023-12-05,2024-01-05,2024-01-05,14330.0,2024-02-05,8840.0,21,9000.0,kind,1.6888888888888889,2024-01-04,1.5922222222222222,-0.3831123517096999,-0.3845309805064481
1M_close_midhold,1M,close,417200,LS머트리얼즈,2023-12-12,2024-01-12,2024-01-12,44650.0,2024-02-14,30650.0,21,6000.0,kind,6.65,2024-01-11,7.441666666666666,-0.3135498320268757,-0.31512843062342444
1M_close_midhold,1M,close,457550,우진엔텍,2024-01-24,2024-02-24,2024-02-26,22750.0,2024-03-27,24950.0,21,5300.0,kind,4.820754716981132,2024-02-23,4.2924528301886795,0.0967032967032968,0.09418125742677064
1M_close_midhold,1M,close,460930,현대힘스,2024-01-26,2024-02-26,2024-02-26,16100.0,2024-03-27,19050.0,21,7300.0,kind,2.328767123287671,2024-02-23,2.2054794520547945,0.18322981366459623,0.18050879324623037
1M_close_midhold,1M,close,452400,이닉스,2024-02-01,2024-03-01,2024-03-04,21550.0,2024-04-02,21250.0,21,14000.0,kind,1.6428571428571428,2024-02-29,1.5392857142857144,-0.0139211136890951,-0.016188754981416476
1M_close_midhold,1M,close,199430,케이엔알시스템,2024-03-07,2024-04-07,2024-04-08,20050.0,2024-05-10,17470.0,21,13500.0,kind,1.5962962962962963,2024-04-05,1.4851851851851852,-0.12867830423940152,-0.13068204357875013
1M_close_midhold,1M,close,455900,엔젤로보틱스,2024-03-26,2024-04-26,2024-04-26,39300.0,2024-05-30,35350.0,21,20000.0,kind,2.325,2024-04-25,1.965,-0.10050890585241734,-0.10257742509107115
1M_close_midhold,1M,close,443060,HD현대마린솔루션,2024-05-08,2024-06-08,2024-06-10,136700.0,2024-07-09,117500.0,21,83400.0,kind,1.5767386091127098,2024-06-07,1.6390887290167866,-0.14045354791514264,-0.1424302082558867
